Plot,Treatment,Midges,Structure,Block,Date,Time,LAI,Height
35,I,No midges,Short,5,7/17/2018,3,3.38,81.3
37,IT,No midges,Tall,5,7/17/2018,3,6.61,83.9
38,C,Midges,Tall,5,7/17/2018,3,6.09,98.3
39,MI,Midges,Short,5,7/17/2018,3,4.32,90.8
43,IT,No midges,Tall,6,7/17/2018,3,6.56,81.6
45,MI,Midges,Short,6,7/17/2018,3,4.24,91.7
46,C,Midges,Tall,6,7/17/2018,3,4.69,92.1
47,I,No midges,Short,6,7/17/2018,3,4.15,80.1
2,MI,Midges,Short,1,8/17/2018,4,1.22,60
3,I,No midges,Short,1,8/17/2018,4,3.91,85.4
6,IT,No midges,Tall,1,8/17/2018,4,4.39,84.4
8,C,Midges,Tall,1,8/17/2018,4,3.37,77.8
9,I,No midges,Short,2,8/17/2018,4,3.91,70.4
12,C,Midges,Tall,2,8/17/2018,4,3.22,45.4
13,IT,No midges,Tall,2,8/17/2018,4,3.94,74
14,MI,Midges,Short,2,8/17/2018,4,2.91,69.6
17,I,No midges,Short,3,8/17/2018,4,3.85,87.4
18,IT,No midges,Tall,3,8/17/2018,4,4.43,104.8
21,MI,Midges,Short,3,8/17/2018,4,3.37,93
23,C,Midges,Tall,3,8/17/2018,4,2.43,69.6
25,I,No midges,Short,4,8/17/2018,4,3.58,94.6
28,C,Midges,Tall,4,8/17/2018,4,3.45,95.8
29,MI,Midges,Short,4,8/17/2018,4,2.45,109.2
30,IT,No midges,Tall,4,8/17/2018,4,4.25,101
35,I,No midges,Short,5,8/17/2018,4,3.59,101
37,IT,No midges,Tall,5,8/17/2018,4,3.63,100.2
38,C,Midges,Tall,5,8/17/2018,4,2.96,96.6
39,MI,Midges,Short,5,8/17/2018,4,4.04,93
43,IT,No midges,Tall,6,8/17/2018,4,4.03,94
45,MI,Midges,Short,6,8/17/2018,4,4.04,102.2
46,C,Midges,Tall,6,8/17/2018,4,3.5,105.2
47,I,No midges,Short,6,8/17/2018,4,3.93,88.8
