Plot,Treatment,Set.Date,Extraction.Date,Midges,Structure,Block,Total
38,C,2018-06-24,2018-07-20,Midges,Tall,5,231
39,MI,2018-06-24,2018-07-20,Midges,Short,5,265
43,IT,2018-06-24,2018-07-20,No midges,Tall,6,27
45,MI,2018-06-24,2018-07-20,Midges,Short,6,211
46,C,2018-06-24,2018-07-20,Midges,Tall,6,131
47,I,2018-06-24,2018-07-20,No midges,Short,6,39
2,MI,2018-07-20,2018-08-13,Midges,Short,1,500
3,I,2018-07-20,2018-08-13,No midges,Short,1,23
6,IT,2018-07-20,2018-08-13,No midges,Tall,1,50
8,C,2018-07-20,2018-08-13,Midges,Tall,1,350
9,I,2018-07-20,2018-08-13,No midges,Short,2,92
12,C,2018-07-20,2018-08-13,Midges,Tall,2,274
13,IT,2018-07-20,2018-08-13,No midges,Tall,2,30
14,MI,2018-07-20,2018-08-13,Midges,Short,2,144
17,I,2018-07-20,2018-08-13,No midges,Short,3,18
18,IT,2018-07-20,2018-08-13,No midges,Tall,3,26
21,MI,2018-07-20,2018-08-13,Midges,Short,3,294
23,C,2018-07-20,2018-08-13,Midges,Tall,3,1296
25,I,2018-07-20,2018-08-13,No midges,Short,4,9
28,C,2018-07-20,2018-08-13,Midges,Tall,4,37
29,MI,2018-07-20,2018-08-13,Midges,Short,4,99
30,IT,2018-07-20,2018-08-13,No midges,Tall,4,3
35,I,2018-07-20,2018-08-13,No midges,Short,5,19
37,IT,2018-07-20,2018-08-13,No midges,Tall,5,53
38,C,2018-07-20,2018-08-13,Midges,Tall,5,448
39,MI,2018-07-20,2018-08-13,Midges,Short,5,122
43,IT,2018-07-20,2018-08-13,No midges,Tall,6,10
45,MI,2018-07-20,2018-08-13,Midges,Short,6,240
46,C,2018-07-20,2018-08-13,Midges,Tall,6,480
47,I,2018-07-20,2018-08-13,No midges,Short,6,38
