Plot,Treatment,Midges,Structure,Date,Month,Year,Time,Block,Araneae,Linyphiidae,Lycosidae,Gnaphosidae,Thomisidae,Opiliones,Coleoptera,Ptinidae,Cryptophagidae,Staphylinidae,Carabidae,Curculionidae,Collembola,Entomobryidae,Isotomidae,Hypogastruridae,Neelidae,Neanuridae,Onychuridae,Poduridae,Sminthuridae,Tomoceridae,Acari,Oribatida,Mesostigmata,Prostigmata,Thyanosoptera,Psyliidae,Aphididae,Coccoidea,Miridae,Saldidae,Tingidae,Nabidae,Microphysid,Auchenorrhyncha,Hymenoptera,Lepidoptera,Arthropods,Coleoptera Larval,Total
47,I,No midges,Short,16-Jul-17,July,2017,1,6,0,2,0,0,0,0,0,0,0,2,0,0,0,60,1,3,0,0,1,0,42,0,0,232,35,8,10,0,20,0,0,0,0,0,0,0,2,0,0,0,418
2,MI,Midges,Short,24-Jul-17,July,2017,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,92,10,0,0,0,0,0,12,0,0,60,24,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,215
3,I,No midges,Short,24-Jul-17,July,2017,1,1,0,13,0,0,0,0,0,0,0,1,0,1,0,12,2,0,0,0,0,0,5,0,0,284,49,0,2,0,28,0,0,0,0,0,0,0,6,0,0,0,403
6,IT,No midges,Tall,24-Jul-17,July,2017,1,1,0,7,0,0,0,0,0,0,0,1,0,0,0,733,4,0,0,0,0,0,7,0,0,225,66,0,1,0,67,0,0,0,0,0,0,0,11,0,2,0,1124
8,C,Midges,Tall,24-Jul-17,July,2017,1,1,0,18,1,0,0,0,0,0,0,2,0,0,0,185,9,0,0,0,0,0,38,0,46,155,18,2,0,0,39,0,0,0,0,0,0,0,4,0,3,0,520
9,I,No midges,Short,24-Jul-17,July,2017,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,84,8,0,0,0,0,0,56,0,0,92,14,0,1,0,7,0,0,0,0,0,0,0,3,0,0,0,267
12,C,Midges,Tall,24-Jul-17,July,2017,1,2,0,18,0,0,0,0,0,0,0,0,0,0,0,567,54,0,0,0,0,0,159,0,8,743,16,6,2,0,9,1,0,1,0,0,0,0,0,0,0,0,1584
13,IT,No midges,Tall,24-Jul-17,July,2017,1,2,0,5,0,0,0,0,0,0,0,1,0,0,0,198,3,0,0,0,3,0,9,0,1,207,26,0,6,0,27,1,0,0,0,0,0,0,5,0,0,0,492
14,MI,Midges,Short,24-Jul-17,July,2017,1,2,0,12,0,0,0,0,0,0,0,0,0,0,0,92,9,2,0,0,1,0,24,0,27,372,3,0,2,0,9,0,0,0,0,0,0,0,2,0,0,0,555
17,I,No midges,Short,24-Jul-17,July,2017,1,3,0,10,0,0,0,0,0,0,2,1,0,1,0,356,0,0,0,0,0,0,56,0,24,348,3,0,2,0,34,0,0,0,0,0,0,0,3,0,0,0,840
18,IT,No midges,Tall,24-Jul-17,July,2017,1,3,0,15,0,0,0,0,0,0,0,0,0,0,0,328,8,0,0,0,0,0,56,0,35,436,9,0,2,0,29,0,0,0,0,0,0,0,2,0,0,0,920
21,MI,Midges,Short,24-Jul-17,July,2017,1,3,0,30,0,0,0,0,0,0,0,0,0,0,0,100,3,0,0,0,0,0,68,0,0,360,3,0,0,0,9,0,0,0,0,0,0,1,1,0,0,1,576
23,C,Midges,Tall,24-Jul-17,July,2017,1,3,0,14,0,0,0,0,0,0,0,1,0,0,0,233,3,2,0,0,0,0,39,0,0,407,43,1,2,0,97,0,0,0,0,0,0,0,7,0,0,0,849
25,I,No midges,Short,17-Jul-18,July,2018,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,48,0,0,28,9,7,0,0,3,0,1,0,0,0,0,0,4,0,0,0,319
28,C,Midges,Tall,17-Jul-18,July,2018,2,4,0,5,0,0,0,0,0,0,0,3,0,0,0,108,44,0,0,0,0,0,14,0,0,56,26,9,1,0,8,1,1,0,0,0,0,0,5,0,0,6,287
29,MI,Midges,Short,17-Jul-18,July,2018,2,4,0,15,0,0,0,0,0,0,2,2,0,0,0,88,34,13,0,0,0,0,44,0,0,76,22,5,4,0,5,0,0,0,0,0,0,0,8,0,0,6,324
30,IT,No midges,Tall,17-Jul-18,July,2018,2,4,0,13,0,0,0,0,0,0,1,5,0,0,0,136,56,10,0,0,1,0,9,0,0,30,15,6,3,0,10,1,1,0,0,0,0,0,3,0,0,1,301
35,I,No midges,Short,17-Jul-18,July,2018,2,5,0,0,0,0,0,0,0,0,0,7,0,0,0,72,56,3,0,0,1,0,18,0,0,76,4,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,245
37,IT,No midges,Tall,17-Jul-18,July,2018,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,C,Midges,Tall,17-Jul-18,July,2018,2,5,0,7,0,0,0,1,0,0,4,1,0,0,0,220,64,11,0,0,1,0,20,0,0,56,18,32,8,0,9,0,1,0,0,0,0,0,12,0,0,0,465
39,MI,Midges,Short,17-Jul-18,July,2018,2,5,0,5,0,0,0,0,0,0,0,4,1,0,0,352,332,0,0,0,0,0,104,0,0,48,60,10,4,0,8,1,2,0,0,0,0,0,1,0,0,5,937
43,IT,No midges,Tall,17-Jul-18,July,2018,2,6,0,22,0,0,0,1,0,0,3,10,0,0,0,220,68,1,0,0,2,0,0,0,0,124,32,8,8,0,8,0,0,0,0,0,0,0,3,0,0,10,520
45,MI,Midges,Short,17-Jul-18,July,2018,2,6,0,14,0,0,0,1,0,0,1,6,0,1,0,128,108,0,0,0,1,0,92,0,0,156,72,22,0,0,2,0,1,0,0,0,0,0,5,0,0,5,615
46,C,Midges,Tall,17-Jul-18,July,2018,2,6,0,13,0,0,0,0,0,0,1,6,0,0,0,108,108,0,0,0,11,0,80,0,0,148,56,23,0,0,26,0,3,0,0,0,0,0,3,0,0,13,599
47,I,No midges,Short,17-Jul-18,July,2018,2,6,0,2,0,0,0,0,0,0,1,0,0,0,0,180,68,0,0,0,0,0,56,0,0,18,5,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,338
2,MI,Midges,Short,19-Jul-18,July,2018,2,1,0,9,0,0,0,0,0,0,0,2,0,1,0,132,5,0,0,0,0,0,22,0,0,228,9,18,2,0,1,0,0,0,0,0,0,0,5,1,0,0,435
3,I,No midges,Short,19-Jul-18,July,2018,2,1,0,13,0,0,0,0,0,0,0,3,0,0,0,204,5,0,0,0,0,0,7,0,0,336,24,64,7,0,8,0,0,0,0,0,0,0,2,1,0,2,676
6,IT,No midges,Tall,19-Jul-18,July,2018,2,1,0,20,0,0,0,0,0,0,1,4,0,0,0,1728,0,0,0,0,0,0,0,0,0,712,80,264,1,0,1,0,0,0,0,0,0,0,2,0,0,4,2817
8,C,Midges,Tall,19-Jul-18,July,2018,2,1,0,22,0,0,0,0,0,0,0,3,0,0,0,912,0,0,0,0,0,0,8,0,0,344,40,24,16,0,0,0,0,0,0,0,0,0,5,0,0,0,1374
9,I,No midges,Short,19-Jul-18,July,2018,2,2,0,16,0,0,0,0,0,0,0,0,0,0,0,228,4,0,0,0,0,0,2,0,0,208,16,52,22,0,6,0,0,0,0,0,0,0,2,0,0,1,557
12,C,Midges,Tall,19-Jul-18,July,2018,2,2,0,8,0,0,0,1,0,0,0,1,0,0,0,464,2,0,0,0,1,0,108,0,0,444,68,48,3,0,7,0,0,0,0,0,0,0,1,0,0,0,1156
13,IT,No midges,Tall,19-Jul-18,July,2018,2,2,0,23,0,0,0,0,0,0,3,1,0,0,0,300,3,0,0,0,0,0,4,0,0,144,10,52,9,0,20,2,0,0,0,0,1,0,6,0,0,2,580
14,MI,Midges,Short,19-Jul-18,July,2018,2,2,0,18,0,0,0,0,0,0,0,0,0,0,0,400,3,0,0,0,0,0,20,34,0,148,9,20,5,0,1,0,0,0,0,0,0,1,4,0,0,0,663
17,I,No midges,Short,19-Jul-18,July,2018,2,3,0,8,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,1,0,0,92,4,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,160
18,IT,No midges,Tall,19-Jul-18,July,2018,2,3,0,12,0,0,0,0,0,0,0,2,0,0,0,120,0,0,0,0,0,0,4,0,0,88,4,48,5,0,11,0,0,0,0,0,0,1,7,0,0,3,305
21,MI,Midges,Short,19-Jul-18,July,2018,2,3,0,14,0,0,0,0,0,0,0,2,0,0,0,40,2,0,0,0,0,0,7,0,0,296,4,10,3,0,2,1,0,0,0,0,0,0,2,0,0,2,385
23,C,Midges,Tall,19-Jul-18,July,2018,2,3,0,15,0,1,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,2,0,0,324,20,61,9,0,3,0,1,0,0,0,0,2,1,0,0,0,827
